"Época","Treinamento 2","Validação 2","Treinamento 4","Validação 4","Treinamento 8","Validação 8","Treinamento 16","Validação 16","Treinamento 32","Validação 32","Treinamento 64","Validação 64","Treinamento 128","Validação 128"
1,1.101,1.078,1.100,1.069,1.122,1.053,1.107,1.038,1.048,0.974,1.048,0.962,1.051,0.936
2,1.073,1.058,1.056,1.038,1.018,0.989,1.005,0.970,0.920,0.881,0.904,0.860,0.874,0.839
3,1.050,1.033,1.023,1.006,0.957,0.935,0.937,0.909,0.847,0.827,0.824,0.805,0.803,0.789
4,1.023,1.007,0.991,0.976,0.905,0.889,0.878,0.858,0.804,0.796,0.783,0.779,0.773,0.774
5,0.997,0.982,0.959,0.946,0.864,0.853,0.834,0.822,0.780,0.778,0.764,0.767,0.760,0.761
6,0.972,0.958,0.929,0.918,0.832,0.825,0.803,0.798,0.766,0.768,0.756,0.760,0.754,0.760
7,0.948,0.936,0.901,0.892,0.808,0.805,0.783,0.782,0.759,0.761,0.753,0.758,0.752,0.757
8,0.927,0.917,0.876,0.869,0.791,0.790,0.771,0.772,0.754,0.761,0.751,0.758,0.751,0.760
9,0.907,0.899,0.853,0.850,0.779,0.780,0.764,0.766,0.753,0.759,0.750,0.758,0.750,0.755
10,0.890,0.883,0.835,0.830,0.770,0.773,0.758,0.763,0.751,0.757,0.750,0.755,0.750,0.757
11,0.875,0.869,0.816,0.814,0.765,0.768,0.755,0.760,0.750,0.758,0.750,0.756,0.749,0.757
12,0.861,0.856,0.803,0.803,0.761,0.766,0.753,0.759,0.750,0.755,0.749,0.755,0.750,0.755
13,0.848,0.845,0.791,0.793,0.758,0.764,0.753,0.758,0.749,0.755,0.749,0.755,0.750,0.754
14,0.837,0.834,0.782,0.784,0.756,0.763,0.751,0.758,0.749,0.755,0.749,0.757,0.750,0.755
15,0.828,0.826,0.774,0.778,0.754,0.761,0.751,0.756,0.750,0.754,0.749,0.757,0.749,0.755
16,0.818,0.817,0.769,0.774,0.754,0.760,0.750,0.756,0.749,0.756,0.749,0.755,0.749,0.753
17,0.811,0.812,0.765,0.771,0.753,0.760,0.750,0.757,0.748,0.754,0.749,0.755,0.749,0.754
18,0.805,0.807,0.762,0.767,0.752,0.757,0.749,0.755,0.749,0.756,0.749,0.757,0.749,0.753
19,0.799,0.801,0.760,0.766,0.751,0.757,0.748,0.755,0.749,0.754,0.748,0.753,0.748,0.754
20,0.794,0.796,0.759,0.764,0.751,0.756,0.749,0.754,0.748,0.755,0.748,0.755,0.748,0.755
21,0.790,0.792,0.756,0.763,0.751,0.756,0.749,0.755,0.749,0.758,0.748,0.760,0.748,0.754
22,0.786,0.790,0.756,0.762,0.750,0.756,0.748,0.755,0.748,0.755,0.749,0.754,0.749,0.754
23,0.783,0.785,0.754,0.762,0.749,0.755,0.749,0.755,0.748,0.754,0.749,0.754,0.749,0.754
24,0.780,0.785,0.754,0.760,0.750,0.756,0.748,0.754,0.747,0.754,0.748,0.753,0.750,0.755
25,0.778,0.781,0.754,0.759,0.748,0.755,0.748,0.754,0.747,0.753,0.747,0.754,0.749,0.755
26,0.776,0.780,0.754,0.760,0.748,0.754,0.748,0.753,0.747,0.753,0.747,0.753,0.748,0.754
27,0.774,0.777,0.753,0.758,0.748,0.755,0.746,0.754,0.746,0.755,0.748,0.753,0.750,0.757
28,0.772,0.777,0.752,0.759,0.747,0.753,0.747,0.752,0.747,0.754,0.747,0.753,0.748,0.753
29,0.772,0.775,0.751,0.759,0.748,0.754,0.746,0.754,0.747,0.753,0.748,0.757,0.749,0.755
30,0.770,0.774,0.751,0.758,0.747,0.753,0.745,0.752,0.748,0.754,0.748,0.754,0.749,0.755
31,0.769,0.774,0.751,0.759,0.747,0.754,0.747,0.753,0.747,0.752,0.747,0.753,0.748,0.758
32,0.768,0.772,0.752,0.759,0.746,0.752,0.746,0.751,0.746,0.753,0.748,0.758,0.748,0.753
33,0.766,0.771,0.750,0.757,0.746,0.752,0.745,0.752,0.748,0.753,0.746,0.753,0.748,0.754
34,0.766,0.771,0.750,0.757,0.745,0.752,0.745,0.750,0.747,0.752,0.747,0.753,0.748,0.755
35,0.765,0.770,0.750,0.757,0.746,0.753,0.744,0.750,0.746,0.753,0.746,0.754,0.747,0.753
36,0.764,0.769,0.750,0.756,0.745,0.751,0.744,0.750,0.746,0.755,0.746,0.752,0.747,0.753
37,0.764,0.769,0.749,0.756,0.745,0.751,0.743,0.750,0.746,0.753,0.746,0.752,0.748,0.752
38,0.764,0.769,0.750,0.757,0.744,0.751,0.743,0.750,0.746,0.753,0.746,0.752,0.749,0.752
39,0.762,0.768,0.749,0.756,0.744,0.750,0.743,0.749,0.746,0.753,0.746,0.753,0.747,0.756
40,0.762,0.767,0.749,0.756,0.743,0.750,0.743,0.747,0.745,0.753,0.746,0.752,0.747,0.758
41,0.762,0.767,0.749,0.756,0.743,0.750,0.742,0.747,0.746,0.753,0.746,0.753,0.748,0.754
42,0.762,0.767,0.749,0.755,0.743,0.749,0.742,0.748,0.746,0.751,0.745,0.751,0.746,0.752
43,0.761,0.766,0.749,0.756,0.741,0.748,0.740,0.746,0.746,0.752,0.745,0.752,0.747,0.753
44,0.761,0.767,0.748,0.754,0.743,0.749,0.741,0.747,0.745,0.753,0.744,0.749,0.747,0.754
45,0.760,0.768,0.748,0.756,0.742,0.750,0.738,0.745,0.744,0.751,0.743,0.750,0.747,0.753
46,0.760,0.765,0.747,0.755,0.741,0.747,0.740,0.745,0.745,0.750,0.743,0.748,0.748,0.756
47,0.760,0.766,0.747,0.753,0.741,0.748,0.738,0.746,0.745,0.751,0.744,0.750,0.746,0.751
48,0.759,0.766,0.747,0.755,0.740,0.747,0.738,0.742,0.745,0.749,0.743,0.749,0.746,0.751
49,0.759,0.765,0.748,0.755,0.740,0.747,0.736,0.742,0.743,0.750,0.740,0.747,0.744,0.752
50,0.758,0.764,0.746,0.754,0.740,0.747,0.735,0.742,0.743,0.748,0.739,0.745,0.745,0.752
51,0.759,0.764,0.747,0.755,0.739,0.747,0.734,0.739,0.743,0.748,0.738,0.745,0.743,0.749
52,0.757,0.763,0.747,0.753,0.738,0.746,0.733,0.740,0.742,0.748,0.737,0.747,0.743,0.749
53,0.758,0.764,0.746,0.753,0.738,0.745,0.731,0.738,0.743,0.749,0.735,0.746,0.742,0.749
54,0.757,0.764,0.746,0.753,0.738,0.746,0.729,0.735,0.741,0.746,0.734,0.741,0.741,0.748
55,0.758,0.763,0.746,0.753,0.737,0.744,0.728,0.735,0.740,0.748,0.733,0.739,0.740,0.745
56,0.758,0.764,0.746,0.753,0.738,0.745,0.727,0.732,0.739,0.746,0.732,0.737,0.740,0.746
57,0.757,0.764,0.746,0.753,0.736,0.743,0.723,0.729,0.738,0.743,0.730,0.736,0.737,0.747
58,0.757,0.763,0.745,0.754,0.737,0.744,0.723,0.727,0.739,0.746,0.729,0.734,0.736,0.742
59,0.757,0.763,0.745,0.753,0.736,0.742,0.721,0.727,0.737,0.742,0.727,0.733,0.734,0.738
60,0.756,0.763,0.745,0.753,0.734,0.743,0.719,0.723,0.736,0.741,0.726,0.733,0.730,0.736
61,0.758,0.763,0.745,0.752,0.735,0.742,0.717,0.721,0.734,0.739,0.724,0.734,0.729,0.733
62,0.757,0.762,0.746,0.753,0.734,0.742,0.715,0.718,0.733,0.738,0.723,0.727,0.725,0.730
63,0.757,0.761,0.745,0.753,0.734,0.742,0.712,0.716,0.732,0.737,0.719,0.727,0.721,0.726
64,0.757,0.763,0.744,0.752,0.733,0.740,0.709,0.715,0.730,0.737,0.717,0.722,0.715,0.721
65,0.756,0.762,0.744,0.755,0.732,0.740,0.707,0.713,0.729,0.734,0.714,0.719,0.711,0.715
66,0.755,0.761,0.744,0.752,0.732,0.739,0.705,0.711,0.727,0.733,0.711,0.716,0.707,0.711
67,0.756,0.761,0.744,0.752,0.731,0.738,0.703,0.708,0.726,0.730,0.707,0.715,0.702,0.706
68,0.755,0.761,0.744,0.752,0.731,0.738,0.701,0.707,0.723,0.729,0.704,0.709,0.696,0.699
69,0.756,0.761,0.743,0.752,0.730,0.737,0.697,0.704,0.721,0.727,0.700,0.706,0.692,0.697
70,0.754,0.760,0.744,0.752,0.729,0.735,0.695,0.703,0.719,0.724,0.696,0.701,0.685,0.690
71,0.755,0.762,0.744,0.751,0.728,0.737,0.694,0.700,0.717,0.721,0.692,0.697,0.681,0.688
72,0.754,0.761,0.744,0.750,0.727,0.737,0.691,0.698,0.714,0.720,0.689,0.695,0.677,0.685
73,0.754,0.761,0.743,0.752,0.727,0.734,0.688,0.696,0.712,0.719,0.684,0.689,0.672,0.677
74,0.753,0.760,0.743,0.751,0.725,0.733,0.686,0.694,0.710,0.716,0.679,0.685,0.669,0.676
75,0.755,0.761,0.743,0.751,0.724,0.733,0.685,0.692,0.706,0.712,0.676,0.681,0.665,0.676
76,0.753,0.760,0.742,0.751,0.722,0.729,0.683,0.690,0.705,0.710,0.672,0.677,0.662,0.670
77,0.755,0.760,0.743,0.751,0.721,0.728,0.681,0.689,0.702,0.707,0.668,0.675,0.661,0.666
78,0.754,0.762,0.743,0.751,0.720,0.727,0.678,0.685,0.699,0.703,0.665,0.671,0.658,0.665
79,0.753,0.759,0.743,0.751,0.719,0.725,0.677,0.683,0.696,0.702,0.662,0.670,0.654,0.663
80,0.754,0.760,0.743,0.751,0.717,0.722,0.675,0.683,0.692,0.699,0.659,0.665,0.653,0.661
81,0.754,0.759,0.742,0.749,0.715,0.722,0.673,0.680,0.689,0.696,0.656,0.664,0.652,0.660
82,0.753,0.759,0.743,0.751,0.713,0.720,0.671,0.680,0.687,0.693,0.655,0.662,0.650,0.656
83,0.753,0.760,0.742,0.750,0.712,0.718,0.671,0.678,0.683,0.689,0.652,0.658,0.648,0.655
84,0.753,0.759,0.741,0.749,0.710,0.717,0.669,0.675,0.681,0.687,0.650,0.658,0.647,0.655
85,0.753,0.760,0.742,0.748,0.708,0.715,0.667,0.674,0.677,0.685,0.648,0.659,0.646,0.654
86,0.754,0.759,0.741,0.748,0.706,0.713,0.665,0.674,0.674,0.679,0.647,0.659,0.644,0.652
87,0.754,0.759,0.741,0.750,0.704,0.712,0.663,0.673,0.672,0.677,0.645,0.655,0.643,0.652
88,0.752,0.760,0.741,0.749,0.703,0.709,0.663,0.672,0.668,0.676,0.644,0.653,0.642,0.654
89,0.754,0.759,0.741,0.749,0.701,0.708,0.662,0.669,0.666,0.671,0.643,0.652,0.641,0.649
90,0.753,0.760,0.741,0.748,0.701,0.709,0.660,0.669,0.664,0.670,0.643,0.651,0.641,0.650
91,0.753,0.758,0.741,0.748,0.699,0.707,0.660,0.668,0.661,0.667,0.641,0.649,0.639,0.648
92,0.752,0.759,0.740,0.747,0.697,0.704,0.659,0.667,0.658,0.666,0.640,0.650,0.638,0.649
93,0.754,0.759,0.740,0.749,0.697,0.705,0.658,0.667,0.656,0.665,0.640,0.650,0.637,0.646
94,0.753,0.759,0.740,0.747,0.695,0.702,0.656,0.666,0.654,0.662,0.639,0.648,0.635,0.646
95,0.753,0.759,0.740,0.747,0.694,0.701,0.656,0.665,0.652,0.660,0.639,0.650,0.635,0.647
96,0.752,0.758,0.741,0.747,0.692,0.700,0.656,0.665,0.650,0.660,0.637,0.649,0.635,0.643
97,0.753,0.759,0.740,0.748,0.692,0.700,0.654,0.663,0.650,0.657,0.637,0.647,0.633,0.644
98,0.751,0.760,0.740,0.747,0.691,0.698,0.654,0.665,0.647,0.656,0.636,0.646,0.633,0.643
99,0.752,0.758,0.739,0.747,0.689,0.698,0.653,0.663,0.646,0.656,0.635,0.646,0.632,0.643
100,0.753,0.758,0.739,0.747,0.689,0.696,0.652,0.661,0.644,0.653,0.635,0.644,0.630,0.641
101,0.752,0.758,0.740,0.747,0.687,0.695,0.651,0.663,0.643,0.653,0.634,0.646,0.630,0.640
102,0.752,0.759,0.738,0.746,0.686,0.694,0.651,0.661,0.643,0.653,0.633,0.644,0.629,0.642
